plot_id,ba_ha,sph_ha,merch_vol_ha,zskew,pzabove2,zq95
1519800101,23.077,1550,134.0141701,0.0588312634635101,84.1843088418431,7.34
1519800102,24.469,2000,117.3458797,0.00683889242060011,79.2390405293631,7.68
1519800201,19.667,1500,106.8309231,-0.655726137810685,84.0968586387435,6.97
1519800202,21.557,1850,101.3874331,-0.285402699999238,82.2229551451187,8.08
1519800301,22.725,1700,127.5117341,0.209033696218642,82.7435014093329,7.8
1519800302,20.867,2000,114.6344874,-0.267133275448412,83.4055727554179,7.0455
1519800401,12.956,1325,53.7403025,0.303199378321287,60.1433691756272,5.603
1519800402,7.056,575,32.86539267,0.767305265763751,46.1790751065923,5.876
1519800501,17.638,1975,97.10075428,-0.239484897457678,72.6464779460171,5.17
1519800502,14.665,1450,79.05425348,0.209233386469875,63.9521640091116,5.4425
1600301202,9.394,925,41.40346738,0.336715661932406,73.2226479352916,7.376
1600301501,20.15,1700,95.62067373,-0.380705576309079,79.543666404406,8.635
1600302102,18.846,1400,106.7488248,0.231084740854259,64.2162770145417,8.13
1919800101,40.077,1064,279.3241722,-0.868470451176409,87.4362818590705,17.363
1919800102,40.586,1775,236.2727369,-0.737992206267387,85.0879249706917,14.46
1919800201,33.887,1750,185.6813629,-0.640762294366447,81.2525090325171,11.515
1919800202,37.31,1666,221.9322724,-0.391800519893785,83.3614153327717,14.2005
1919800301,36.101,1648,237.1290227,-0.355067849826486,78.5751702462022,13.016
1919800302,52.611,1641,318.5606906,-0.589980420581712,80.1082543978349,15.564
1919800401,33.32,2125,172.4947866,-0.433530883860069,77.2901810202962,11.8
1919800402,40.897,1900,237.3202851,-0.27013358755906,70.9051724137931,12.885
1919800501,8.235,366,55.58738494,0.10050170222207,66.6894899007189,12.73
1919800502,25.477,1425,140.4457704,-0.0383891562910515,63.0377524143986,11.34
1919800601,40.421,1607,226.8907955,-0.687566132993023,81.7908817908818,16.069
1919800602,34.025,1155,245.4508948,-0.353671908331295,73.0465320456541,13.8745
1919800701,40.324,2775,205.4874801,-1.27563793313849,92.5765765765766,12.073
1919800702,27.372,1066,168.9942389,-0.197791513593253,71.1946902654867,12.7815
1919800801,22.177,1175,123.9700473,-0.218549181703757,80.505860579889,10.49
1919800802,29.624,1825,157.874719,-0.323033321028621,78.5760517799353,11.63
1919800901,32.569,1155,228.1188118,-0.276514110663526,77.2897196261682,15.151
1919800902,43.482,2116,252.5249968,-0.884432865183056,82.864238410596,15.49
1919801001,32.98,1273,226.6676413,-0.273241565694558,67.6773802304427,14.628
1919801002,39.382,1048,268.9730435,-0.574336112433801,85.8046380885453,15.5275
7009300101,12.247,500,71.47613361,-0.0440970828057846,73.0413325107958,9.67
7009300102,17.503,775,99.19542668,-0.150019883886654,78.575225943647,9.66
7009300201,43.292,2116,258.6537527,-0.270767957353216,74.0282685512367,12.2325
7009500101,11.684,475,67.88944938,0.674814158305267,72.2065063649222,11.78
7009700101,12.677,950,74.44815765,0.0941028439471069,60.3310502283105,7.5245
7009700102,29.679,1650,169.9721866,0.0152832936504744,74.088713219148,10.482
7009800401,34.873,1625,206.0849366,-0.0392601090679832,76.4001914791766,12.2715
7009800402,19.835,1300,117.4396946,0.276297166537176,64.6753246753247,10.594
7009800501,27.326,1375,156.8834969,-0.170617593109798,73.4491315136476,12.373
7009800502,36.479,1625,213.73853,-0.128269366364068,81.4067611777535,13.514
7009800801,5.515,325,31.26658697,0.617087941752085,47.0995670995671,5.963
7009800802,3.319,125,19.80044475,1.50913901397077,30.0510576221736,4.865
7100602302,11.775,825,47.78535367,-0.501196888364169,79.1711517761033,10.91
7100602401,34.207,928,274.8297627,-1.07987825407215,87.1038651767723,16.68
7100602402,21.726,455,181.1089847,-0.867950887582138,85.4632587859425,18.4855
7100602601,15.807,750,94.68366373,-0.803407041624251,83.7318017897689,12.84
7100602602,27.673,1675,143.9480907,-0.596314254727002,80.3088803088803,11.25
7100602701,10.68,541,65.42781286,-0.185819192223978,82.3048073644732,12.784
7100602702,15.749,816,92.17844448,0.260512638076069,60.1333333333333,9.2
7100603001,23.375,916,146.1215684,-0.19135662486958,72.8098048116205,10.76
7100603002,0.424,25,2.387535219,6.89761561212909,3.15161839863714,0.416500000000001
7100603202,9.426,350,56.40013763,1.14571077737027,55.9493670886076,10.9705
7100603402,18.695,925,105.8828466,1.95817964643534,16.3521391166881,4.15
7100603501,12.364,900,62.54046161,-1.05294406164265,82.8333698270199,10.107
7100603502,15.605,650,92.88379731,-0.179074788582313,80.6421152030217,11.516
7100603601,21.697,657,148.6398074,0.00315902565654744,75.223675154852,13.64
7100603602,14.506,725,85.0864808,-0.252262404486333,84.6421125781793,9.591
7100603701,24.939,691,151.4914815,0.546611916637966,83.542764491285,15.917
7100603702,21.672,1200,124.3008545,0.231762759611039,59.1204397801099,13.15
9009103002,38.534,1239,330.4010422,-0.103604026389097,74.1873804971319,22.376
9203408101,36.143,932,242.5313082,0.203172987573191,69.0550828481863,15.298
9203408202,26.135,1300,153.3959365,0.381703703564477,64.1530054644809,11.6465
9203800601,1.063,50,2.410929812,1.87836162323403,19.2260442260442,7.8525
9203800602,12.949,625,60.92058427,0.228117416282007,61.5776081424936,11.13
9203801101,9.458,550,50.04717751,0.254450553485176,53.9857064321056,8.501
9203801102,1.566,75,8.87467545,0.846842594469135,41.6785884597043,5.64
9203801201,16.695,632,118.3345827,-0.817896305012031,82.7338129496403,13.48
9203801202,16.893,875,93.95873638,-0.823981245086917,80.3628601921025,11.74
